序号,兑换码,创建时间,是否有效,编辑,活动id,用户id,状态,生成时间
10001,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
10000,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9999,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9998,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9997,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9996,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9995,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9994,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9993,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9992,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9991,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9990,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9989,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9988,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9987,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9986,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9985,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9984,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9983,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9982,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9981,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9980,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9979,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9978,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9977,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9976,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9975,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9974,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9973,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9972,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9971,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9970,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9969,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9968,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9967,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9966,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9965,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9964,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9963,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9962,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9961,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9960,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9959,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9958,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9957,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9956,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9955,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9954,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9953,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9952,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9951,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9950,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9949,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9948,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9947,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9946,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9945,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9944,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9943,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9942,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9941,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9940,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9939,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9938,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9937,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9936,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9935,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9934,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9933,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9932,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9931,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9930,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9929,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9928,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9927,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9926,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9925,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9924,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9923,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9922,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9921,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9920,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9919,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9918,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9917,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9916,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9915,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9914,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9913,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9912,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9911,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9910,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
9909,3333,1604572049968,无效,,2222,1111,进行中,1604572049968
